iso3,country,rate_pre,rate_pandemic,delta_suicide,income_group,psychiatrists_per_100k,uhc_index_mean,excess_mortality_covid
MDG,Madagascar,10.225999999999999,10.27,0.04400000000000048,Low income,0.058,30.4,23500.8316
MDV,Maldives,2.679,2.1550000000000002,-0.5239999999999996,Upper middle income,2.39,64.4,633.9559089
MEX,Mexico,5.492,6.575,1.0830000000000002,Upper middle income,0.21,72.6,612370.0783
MKD,North Macedonia,4.755,4.08,-0.6749999999999998,Upper middle income,14.43,71.8,16958.83513
MLI,Mali,8.302,8.32,0.018000000000000682,Low income,0.029,38,12352.48419
MLT,Malta,5.599,5.109999999999999,-0.48900000000000077,High income,NA,79.8,692.7164441
MMR,Myanmar,3.254,2.92,-0.3340000000000001,Lower middle income,0.38,52.8,52082.73239
MNE,Montenegro,11.002,10.515,-0.4870000000000001,Upper middle income,8.28,70.2,3523.875819
MNG,Mongolia,19.738,19.905,0.1670000000000016,Lower middle income,4.03,64.8,796.1739438
MOZ,Mozambique,19.917,19.485,-0.43200000000000216,Low income,0.046,40.2,35648.11376
MRT,Mauritania,4.793,4.9,0.1070000000000002,Lower middle income,0.072,36,4558.746034
MUS,Mauritius,8.534,10.095,1.561,Upper middle income,2.38,65.6,1083.767214
MWI,Malawi,12.488,14.010000000000002,1.522000000000002,Low income,NA,44.8,11024.84582
MYS,Malaysia,5.021,4.984999999999999,-0.036000000000000476,Upper middle income,1.05,75,24887.40218
NAM,Namibia,11.41,11.055,-0.3550000000000004,Upper middle income,0.37,61.6,6889.734101
NER,Niger,8.865,8.855,-0.009999999999999787,Low income,0.014,32.8,12276.95613
NGA,Nigeria,8.358,8.58,0.22199999999999953,Lower middle income,NA,38.6,59964.30205
NIC,Nicaragua,5.449,3.9250000000000003,-1.5239999999999996,Lower middle income,0.69,70.6,17134.45337
NLD,Netherlands (Kingdom of the),9.016,8.99,-0.0259999999999998,High income,20.87,80,30531.69792
NOR,Norway,10.489,11.145,0.6559999999999988,High income,48.04,80,1516.431221
NPL,Nepal,11.921000000000001,10.975,-0.9460000000000015,Low income,0.36,46.6,34841.15426
NZL,New Zealand,11.553,10.84,-0.713000000000001,High income,28.54,80,-2770.178095
OMN,Oman,1.733,1.065,-0.6680000000000001,High income,1.74,69,8476.874763
PAK,Pakistan,7.317,6.43,-0.8870000000000005,Lower middle income,NA,41,302777.3037
PAN,Panama,3.418,2.855,-0.5630000000000002,Upper middle income,4.03,76.2,7491.413988
PER,Peru,1.649,1.5150000000000001,-0.1339999999999999,Upper middle income,2.95,73.4,224190.789
PHL,Philippines,3.591,3.8049999999999997,0.21399999999999952,Lower middle income,0.52,56.6,228940.6293
PNG,Papua New Guinea,2.283,2.1,-0.18299999999999983,Lower middle income,NA,32.4,8621.604522
POL,Poland,13.425,11.594999999999999,-1.8300000000000018,High income,24.18,79,163144.3813
PRI,Puerto Rico,5.084,4.19,-0.8939999999999992,High income,NA,NA,NA
PRK,Democratic People's Republic of Korea,8.907,7.61,-1.2969999999999997,Low income,NA,61.8,5101.078356
PRT,Portugal,8.185,7.43,-0.7550000000000008,High income,NA,80,23490.24466
PRY,Paraguay,6.238,6.505000000000001,0.26700000000000035,Upper middle income,NA,71.8,19795.048
PSE,"occupied Palestinian territory, including east Jerusalem",0.857,0.795,-0.061999999999999944,Lower middle income,NA,NA,NA
QAT,Qatar,6.498,4.32,-2.178,High income,2.71,72.6,1435.6914
ROU,Romania,8.965,7.295,-1.67,Upper middle income,5.66,77.4,113399.6674
RUS,Russian Federation,26.487000000000002,17.775,-8.712000000000003,Upper middle income,8.48,75.8,1093164.529
RWA,Rwanda,13.246,13.195,-0.051000000000000156,Low income,0.06,45.4,528.4043238
SAU,Saudi Arabia,1.703,1.67,-0.03300000000000014,High income,1.32,71.8,30270.73048
SDN,Sudan,4.408,3.8200000000000003,-0.5880000000000001,Lower middle income,0.08,42.6,49303.2878
SEN,Senegal,11.878,11.765,-0.11299999999999955,Lower middle income,0.2,46.4,11173.93023
SGP,Singapore,7.806,7.23,-0.5759999999999996,High income,4.19,80,1797.147616
SLB,Solomon Islands,23.704,22.384999999999998,-1.3190000000000026,Lower middle income,NA,45,523.8869078
SLE,Sierra Leone,9.741,9.344999999999999,-0.3960000000000008,Low income,0.041,36,2758.920697
SLV,El Salvador,8.744,7.720000000000001,-1.0239999999999991,Lower middle income,0.89,76.8,17500.76701
SOM,Somalia,15.512,15.66,0.1479999999999997,Low income,NA,23.2,25470.61962
SRB,Serbia,11.558,9.524999999999999,-2.0330000000000013,Upper middle income,8.64,71.4,53166.40302
SSD,South Sudan,10.494,13.495000000000001,3.0010000000000012,Low income,0.025,29,4839.182499
STP,Sao Tome and Principe,1.2810000000000001,1.245,-0.03600000000000003,Lower middle income,0.51,54.6,127.4503173
SUR,Suriname,26.545,25.725,-0.8200000000000003,Upper middle income,1.27,68.6,1881.884982
SVK,Slovakia,9.021,7.3100000000000005,-1.7110000000000003,High income,NA,79.2,26140.54259
SVN,Slovenia,14.665,12.585,-2.0799999999999983,High income,11.95,79.4,1559.012896
SWE,Sweden,12.195,11.565000000000001,-0.629999999999999,High income,20.86,80,12206.69658
SWZ,Eswatini,30.706,30.43,-0.2759999999999998,Lower middle income,0.076,56,3187.741204
SYC,Seychelles,7.138,5.025,-2.1129999999999995,High income,2.13,71.2,-128.9407844
SYR,Syrian Arab Republic,0.724,0.66,-0.06399999999999995,Lower middle income,0.37,61.2,10783.4543
TCD,Chad,11.218,10.95,-0.2680000000000007,Low income,0.007,26.6,9767.13067
TGO,Togo,16.297,15.35,-0.947000000000001,Low income,0.054,39.6,3403.115435
THA,Thailand,9.832,14.815000000000001,4.9830000000000005,Upper middle income,0.72,76.8,73734.62327
TJK,Tajikistan,3.553,2.9450000000000003,-0.6079999999999997,Low income,1.39,66.4,17847.20407
TKM,Turkmenistan,7.7780000000000005,7.34,-0.4380000000000006,Upper middle income,NA,72.4,3630.344832
TLS,Timor-Leste,4.501,3.9350000000000005,-0.5659999999999998,Lower middle income,0.081,48,539.5406899
TON,Tonga,5.574,5.325,-0.24899999999999967,Upper middle income,2.82,55.4,10.58826632
TTO,Trinidad and Tobago,11.062,11.995000000000001,0.9330000000000016,High income,NA,75.4,3336.935359
TUN,Tunisia,2.618,1.84,-0.7779999999999998,Lower middle income,NA,64.8,35200.41577
TUR,Türkiye,3.179,2.73,-0.44899999999999984,Upper middle income,1.64,74.4,210153.6405
TZA,United Republic of Tanzania,7.498,8.440000000000001,0.9420000000000011,Low income,0.056,39.2,9708.128401
UGA,Uganda,10.495,11.02,0.5250000000000004,Low income,0.082,44.4,6640.088918
UKR,Ukraine,19.429,17.41,-2.0189999999999984,Lower middle income,6.93,71.6,187836.1546
URY,Uruguay,17.223,21.325,4.102,High income,14.13,79.6,3634.126637
USA,United States of America,12.732000000000001,13.885000000000002,1.1530000000000005,High income,10.54,80,968425.3361
